checked_at,game_pk,home_slug,date,min_cents,prefee_cents,currency,source
2026-06-13T13:35:03-04:00,823694,minnesota-twins,2026-06-13,2600,2100,USD,gametime
2026-06-13T13:35:03-04:00,822802,toronto-blue-jays,2026-06-13,2500,2100,USD,gametime
2026-06-13T13:35:03-04:00,824828,baltimore-orioles,2026-06-13,2400,2000,USD,gametime
2026-06-13T13:35:03-04:00,822725,washington-nationals,2026-06-13,2300,1800,USD,gametime
2026-06-13T13:35:03-04:00,823369,pittsburgh-pirates,2026-06-13,3800,3200,USD,gametime
2026-06-13T13:35:03-04:00,824508,cincinnati-reds,2026-06-13,1200,900,USD,gametime
2026-06-13T13:35:03-04:00,824426,cleveland-guardians,2026-06-13,4900,4200,USD,gametime
2026-06-13T13:35:03-04:00,824749,boston-red-sox,2026-06-13,4800,4100,USD,gametime
2026-06-13T13:35:03-04:00,823616,new-york-mets,2026-06-13,1100,900,USD,gametime
2026-06-13T13:35:03-04:00,824587,chicago-white-sox,2026-06-13,2300,1900,USD,gametime
2026-06-13T13:35:03-04:00,824100,kansas-city-royals,2026-06-13,1100,900,USD,gametime
2026-06-13T13:35:03-04:00,823776,milwaukee-brewers,2026-06-13,3300,2700,USD,gametime
2026-06-13T13:35:03-04:00,823213,san-francisco-giants,2026-06-13,4000,3400,USD,gametime
2026-06-13T13:35:03-04:00,824019,los-angeles-angels,2026-06-13,600,400,USD,gametime
2026-06-13T13:35:03-04:00,823368,pittsburgh-pirates,2026-06-14,3200,2600,USD,gametime
2026-06-13T13:35:03-04:00,824823,baltimore-orioles,2026-06-14,1400,1100,USD,gametime
2026-06-13T13:35:03-04:00,822722,washington-nationals,2026-06-14,1700,1400,USD,gametime
2026-06-13T13:35:03-04:00,822801,toronto-blue-jays,2026-06-14,4000,3400,USD,gametime
2026-06-13T13:35:03-04:00,824506,cincinnati-reds,2026-06-14,800,600,USD,gametime
2026-06-13T13:35:03-04:00,824424,cleveland-guardians,2026-06-14,3600,3000,USD,gametime
2026-06-13T13:35:03-04:00,823615,new-york-mets,2026-06-14,1100,900,USD,gametime
2026-06-13T13:35:03-04:00,824099,kansas-city-royals,2026-06-14,1300,1100,USD,gametime
2026-06-13T13:35:03-04:00,823693,minnesota-twins,2026-06-14,2300,1800,USD,gametime
2026-06-13T13:35:03-04:00,824586,chicago-white-sox,2026-06-14,2900,2400,USD,gametime
2026-06-13T13:35:03-04:00,823777,milwaukee-brewers,2026-06-14,2600,2100,USD,gametime
2026-06-13T13:35:03-04:00,823212,san-francisco-giants,2026-06-14,4900,4100,USD,gametime
2026-06-13T13:35:03-04:00,824021,los-angeles-angels,2026-06-14,500,400,USD,gametime
2026-06-13T13:35:03-04:00,824751,boston-red-sox,2026-06-14,4600,3900,USD,gametime
2026-06-13T13:35:03-04:00,823452,philadelphia-phillies,2026-06-15,2800,2400,USD,gametime
2026-06-13T13:35:03-04:00,822724,washington-nationals,2026-06-15,1300,1000,USD,gametime
2026-06-13T13:35:03-04:00,824505,cincinnati-reds,2026-06-15,1300,1000,USD,gametime
2026-06-13T13:35:03-04:00,823046,st-louis-cardinals,2026-06-15,1500,1200,USD,gametime
2026-06-13T13:35:03-04:00,824666,chicago-cubs,2026-06-15,3700,3100,USD,gametime
2026-06-13T13:35:03-04:00,822887,texas-rangers,2026-06-15,1600,1300,USD,gametime
2026-06-13T13:35:03-04:00,824181,houston-astros,2026-06-15,1200,900,USD,gametime
2026-06-13T13:35:03-04:00,825071,arizona-diamondbacks,2026-06-15,2200,1800,USD,gametime
2026-06-13T13:35:03-04:00,824993,athletics,2026-06-15,2200,1900,USD,gametime
2026-06-13T13:35:03-04:00,823938,los-angeles-dodgers,2026-06-15,6600,5700,USD,gametime
2026-06-13T13:35:03-04:00,823451,philadelphia-phillies,2026-06-16,3300,2800,USD,gametime
2026-06-13T13:35:03-04:00,822723,washington-nationals,2026-06-16,1700,1400,USD,gametime
2026-06-13T13:35:03-04:00,824750,boston-red-sox,2026-06-16,4400,3700,USD,gametime
2026-06-13T13:35:03-04:00,823535,new-york-yankees,2026-06-16,1200,900,USD,gametime
2026-06-13T13:35:03-04:00,824504,cincinnati-reds,2026-06-16,1500,1200,USD,gametime
2026-06-13T13:35:03-04:00,824912,atlanta-braves,2026-06-16,1800,1500,USD,gametime
2026-06-13T13:35:03-04:00,823775,milwaukee-brewers,2026-06-16,1300,1000,USD,gametime
2026-06-13T13:35:03-04:00,823045,st-louis-cardinals,2026-06-16,1100,900,USD,gametime
2026-06-13T13:35:03-04:00,824667,chicago-cubs,2026-06-16,2300,1900,USD,gametime
2026-06-13T13:35:03-04:00,822888,texas-rangers,2026-06-16,1400,1100,USD,gametime
2026-06-13T13:35:03-04:00,824182,houston-astros,2026-06-16,1700,1400,USD,gametime
2026-06-13T13:35:03-04:00,825070,arizona-diamondbacks,2026-06-16,2200,1800,USD,gametime
2026-06-13T13:35:03-04:00,824991,athletics,2026-06-16,2300,1900,USD,gametime
2026-06-13T13:35:03-04:00,823128,seattle-mariners,2026-06-16,1600,1300,USD,gametime
2026-06-13T13:35:03-04:00,823939,los-angeles-dodgers,2026-06-16,5200,4400,USD,gametime
2026-06-13T13:35:03-04:00,824503,cincinnati-reds,2026-06-17,1400,1100,USD,gametime
2026-06-13T13:35:03-04:00,822721,washington-nationals,2026-06-17,1600,1200,USD,gametime
2026-06-13T13:35:03-04:00,823450,philadelphia-phillies,2026-06-17,2600,2100,USD,gametime
2026-06-13T13:35:03-04:00,824178,houston-astros,2026-06-17,1300,1000,USD,gametime
2026-06-13T13:35:03-04:00,823044,st-louis-cardinals,2026-06-17,1200,1000,USD,gametime
2026-06-13T13:35:03-04:00,823940,los-angeles-dodgers,2026-06-17,4900,4200,USD,gametime
2026-06-13T13:35:03-04:00,825072,arizona-diamondbacks,2026-06-17,2000,1600,USD,gametime
2026-06-13T13:35:03-04:00,824746,boston-red-sox,2026-06-17,4800,4100,USD,gametime
2026-06-13T13:35:03-04:00,823536,new-york-yankees,2026-06-17,1000,800,USD,gametime
2026-06-13T13:35:03-04:00,824913,atlanta-braves,2026-06-17,1600,1200,USD,gametime
2026-06-13T13:35:03-04:00,823774,milwaukee-brewers,2026-06-17,1500,1200,USD,gametime
2026-06-13T13:35:03-04:00,824668,chicago-cubs,2026-06-17,2700,2200,USD,gametime
2026-06-13T13:35:03-04:00,824992,athletics,2026-06-17,2000,1600,USD,gametime
2026-06-13T13:35:03-04:00,823127,seattle-mariners,2026-06-17,1500,1200,USD,gametime
