checked_at,event_id,section_group,min_total_cents,min_prefee_cents,listings,usd_cad_rate,buy_url
2026-06-11T22:31:58-04:00,822803,100 Outfield,8300,6300,28,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a2b16c197c791990d7b2644
2026-06-11T22:31:58-04:00,822803,200 Bases,8800,6700,24,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a2ac07597c791990d867dde
2026-06-11T22:31:58-04:00,822803,200 Infield,9900,7500,21,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a0129419e5c236387c8b370
2026-06-11T22:31:58-04:00,822803,200 Outfield,7500,5700,30,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a1c8b8299548238fdaa9305
2026-06-11T22:31:58-04:00,822803,500 Bases,5400,4100,19,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a2af61d97c791990dd587d5
2026-06-11T22:31:58-04:00,822803,500 Home Plate,5100,3800,23,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/698602cb80822b968b42cd37
2026-06-11T22:31:58-04:00,822803,500 Infield,5400,4100,21,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a20c29b99548238fd099177
2026-06-11T22:31:58-04:00,822803,500 Outfield,4900,3700,16,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a188c403c4b114fd41ab0ff
2026-06-11T22:31:58-04:00,822803,Baseline Reserved,10500,8000,38,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/699352f47f68d3e8ae35551d
2026-06-11T22:31:58-04:00,822803,Corner Reserved,9700,7400,23,1.3993,https://gametime.co/mlb-baseball/yankees-at-blue-jays-tickets/6-12-2026-toronto-on-rogers-centre/events/68af4f6aab077556743a9f72/listings/6a1c8b7c99548238fda9c5da
